1.828079999999999927e+01,1.828079999999999927e+01,5.484239999999999782e+00
2.859270000000000067e+01,2.859270000000000067e+01,8.577809999999999491e+00
2.389219999999999899e+01,2.389219999999999899e+01,7.167659999999999698e+00
3.063729999999999976e+01,3.063729999999999976e+01,9.191190000000000637e+00
1.071369999999999933e+01,1.071369999999999933e+01,3.214109999999999800e+00
5.350880000000000081e+00,5.350880000000000081e+00,1.605259999999999909e+00
6.443450000000000344e+00,6.443450000000000344e+00,1.933040000000000092e+00
3.928640000000000132e+00,3.928640000000000132e+00,3.928639999999999845e-04
5.041619999999999990e+00,5.041619999999999990e+00,1.512489999999999890e+00
2.533389999999999809e+00,2.533389999999999809e+00,2.533389999999999947e-04
1.051319999999999943e+01,1.051319999999999943e+01,3.153960000000000097e+00
2.308089999999999975e+01,2.308089999999999975e+01,6.924269999999999925e+00
9.605779999999999319e+00,9.605779999999999319e+00,2.881730000000000125e+00
4.018749999999999822e+00,4.018749999999999822e+00,4.018749999999999970e-04
7.787399999999999878e+00,7.787399999999999878e+00,2.336219999999999963e+00
6.857160000000000366e+00,6.857160000000000366e+00,2.057150000000000034e+00
7.234629999999999939e+01,7.234629999999999939e+01,2.170390000000000086e+01
1.065340000000000060e+02,1.065340000000000060e+02,3.196020000000000039e+01
4.789309999999999690e+01,4.789309999999999690e+01,1.436790000000000056e+01
6.119330000000000069e+01,6.119330000000000069e+01,1.835800000000000054e+01
2.428389999999999915e+01,2.428389999999999915e+01,7.285169999999999924e+00
3.254500000000000171e+01,3.254500000000000171e+01,9.763500000000000512e+00
7.248529999999999696e+00,7.248529999999999696e+00,2.174560000000000048e+00
1.062359999999999971e+01,1.062359999999999971e+01,3.187079999999999913e+00
5.053909999999999769e+01,5.053909999999999769e+01,1.516169999999999973e+01
7.313599999999999568e+01,7.313599999999999568e+01,2.194079999999999941e+01
2.582890000000000086e+01,2.582890000000000086e+01,7.748669999999999725e+00
1.214509999999999934e+01,1.214509999999999934e+01,3.643530000000000157e+00
5.811139999999999972e+00,5.811139999999999972e+00,1.743339999999999890e+00
7.764070000000000249e+00,7.764070000000000249e+00,2.329219999999999846e+00
2.373049999999999926e+01,2.373049999999999926e+01,7.119150000000000311e+00
1.687490000000000023e+01,1.687490000000000023e+01,5.062470000000000248e+00
4.208400000000000141e+00,4.208400000000000141e+00,1.262520000000000087e+00
1.013429999999999964e+01,1.013429999999999964e+01,3.040290000000000159e+00
7.638749999999999929e+00,7.638749999999999929e+00,2.291619999999999990e+00
3.528150000000000119e+01,3.528150000000000119e+01,1.058450000000000024e+01
6.860099999999999909e+01,6.860099999999999909e+01,2.058030000000000115e+01
